V_in (Volt);I (milliamp);V
0.0 ;0.0 ;0.0 
0.5;0.0 ;0.498
1.0;0.0;0.997
1.5;0.0;1.497
2.0;0.16;1.832
2.5;0.60;1.901
3.0;1.07;1.942
3.5;1.55;1.974
4.0;2.03;2.002
4.5;2.52;2.028
5.0;3.01;2.051
5.5;3.50;2.075
6.0;4.00;2.098
6.5;4.50;2.120
7.0;5.00;2.140
7.5;5.51;2.162
8.0;6.02;2.182
8.5;6.53;2.202
9.0;7.06;2.223
9.5;7.58;2.243
10.0;8.17;2.264
10.5;8.74;2.283
11.0;9.32;2.302
11.5;9.89;2.321
12.0;10.30;2.344
-0.5;0.0;-0.498
-1.0;0.0;-0.998
-1.5;0.0;-1.497
-2.0;-0.16;-1.830
-2.5;-0.47;-1.899
-3.0;-1.01;-1.940
-3.5;-1.46;-1.973
-4.0;-1.89;-1.999
-4.5;-2.33;-2.025
-5.0;-2.79;-2.049
-5.5;-3.04;-2.072
-6.0;-3.52;-2.094
-6.5;-3.84;-2.110
-7.0;-4.27;-2.131
-7.5;-4.74;-2.153
-8.0;-5.31;-2.174
-8.5;-5.85;-2.198
-9.0;-6.35;-2.218
-9.5;-6.86;-2.238
-10.0;-7.35;-2.258
-10.5;-7.91;-2.275
-11.0;-8.56;-2.297
-11.5;-9.27;-2.318
-12.0;-9.98;-2.336
-12.5;-10.78;-2.354
