V_in (Volt);I (milliamp);V
0.0;0.00;0.00
1.0;0.00;0.998
1.5;0.02;1.488
1.8;0.51;1.595
2.0;0.96;1.616
2.5;2.12;1.644
3.0;3.26;1.660
3.5;4.34;1.672
4.0;5.36;1.683
4.5;6.36;1.692
5.0;7.41;1.699
5.5;8.47;1.707
6.0;9.53;1.714
6.5;11.53;1.720
7.0;12.69;1.727
7.5;13.70;1.733
8.0;15.49;1.739
8.5;16.82;1.744
9.0;18.15;1.75
9.5;19.57;1.756
10.0;17.20;1.758
10.5;18.29;1.765
11.0;19.49;1.770
0.0;0.0;0.0
-1.0;0.0;-0.998
-1.5;0.0;-1.485
-2.0;-0.21;-1.61
-2.5;-0.51;-1.639
-3.0;-0.78;-1.655
-3.5;-1.08;-1.667
-4.0;-1.40;-1.678
-4.5;-1.74;-1.687
-5.0;-2.08;-1.695
-5.5;-2.39;-1.702
-6.0;-2.72;-1.710
-6.5;-3.01;-1.717
-7.0;-3.33;-1.723
-7.5;-3.60;-1.729
-8.0;-3.82;-1.735
-8.5 ;-4.20;-1.741
-9.0;-4.5;-1.746 
-9.5;-4.94;-1.752
-10.0;-5.52;-1.757
